CO,CDS,DISTRICT, Expenditures (EDP 365) , Current Expense ADA ,Current Expense Per ADA,LEA Type
01,61119,Alameda Unified," 87,845,924 ","9,066.5","9,689",Unified
01,61127,Albany City Unified," 35,685,062 ","3,745.8","9,527",Unified
01,61143,Berkeley Unified," 116,531,942 ","9,102.7","12,802",Unified
01,61150,Castro Valley Unified," 72,439,246 ","9,048.7","8,005",Unified
01,61168,Emery Unified," 10,231,304 ",696.7,"14,685",Unified
01,61176,Fremont Unified," 261,169,428 ","32,654.6","7,998",Unified
01,61192,Hayward Unified," 190,594,690 ","19,816.5","9,618",Unified
01,61200,Livermore Valley Joint Unified," 107,459,415 ","12,065.6","8,906",Unified
01,61218,Mountain House Elementary," 354,902 ",21.4,"16,584",Elementary
01,61234,Newark Unified," 53,715,746 ","6,126.7","8,768",Unified
01,61242,New Haven Unified," 104,590,630 ","12,140.8","8,615",Unified
01,61259,Oakland Unified," 392,228,209 ","34,977.5","11,214",Unified
01,61275,Piedmont City Unified," 31,871,236 ","2,556.7","12,466",Unified
01,61291,San Leandro Unified," 72,129,241 ","8,264.8","8,727",Unified
01,61309,San Lorenzo Unified," 90,686,180 ","10,761.7","8,427",Unified
01,75093,Dublin Unified," 64,771,954 ","8,151.7","7,946",Unified
01,75101,Pleasanton Unified," 120,349,769 ","14,449.3","8,329",Unified
01,75119,Sunol Glen Unified," 2,278,007 ",258.1,"8,826",Unified
02,61333,Alpine County Unified," 2,552,645 ",78.1,"32,705",Unified
03,73981,Amador County Unified," 24,267,562 ","3,512.4","6,909",Unified
04,61382,Bangor Union Elementary," 1,161,658 ",108.2,"10,741",Elementary
04,61408,Biggs Unified," 5,154,915 ",521.9,"9,877",Unified
04,61424,Chico Unified," 100,720,492 ","11,320.3","8,897",Unified
04,61432,Durham Unified," 7,596,299 ",938.6,"8,093",Unified
04,61440,Feather Falls Union Elementary," 377,970 ",10.1,"37,534",Elementary
04,61457,Golden Feather Union Elementary," 1,600,963 ",95.9,"16,694",Elementary
04,61499,Manzanita Elementary," 2,157,080 ",284.8,"7,573",Elementary
