Function Code,Type of Activity,Expenditure
1000-1999  ,INSTRUCTION  ,"$249,397,226"
1000,Instruction,"$247,472,790  "
1110,Special Education: Separate Classes,"$1,004,074"
1120,Special Education: Resource Specialist Instruction,"$781,629"
1130,Special Education: Supplemental Aids & Services in Regular Classrooms,"$46,747"
1180,Special Education:  Nonpublic Agencies/Schools (NPA/S),N/A
1190,Special Education:  Other Specialized Instructional Services,"$91,985"
1100-1199,Instruction - Special Education,"$1,924,436  "
"Subtotal, INSTRUCTION",,"$249,397,226"
2000-2999  ,INSTRUCTION-RELATED SERVICES  ,"$132,783,414"
2100,Instructional Supervision and Administration,"$89,551,041"
2110,Instructional Supervision,N/A
2120,Instructional Research,N/A
2130,Curriculum Development,"$348,369"
2140,In-house Instructional Staff Development,"$19,855"
2150,Instructional Administration of Special Projects,N/A
2100-2199,Instructional Supervision and Administration,"$89,919,265  "
2200,Administrative Unit (AU) of a Multidistrict SELPA,$0
2420,"Instructional Library, Media, and Technology","$8,295,033  "
2490,Other Instructional Resources,"$538,734"
2495,Parent Participation,"$97,830"
2490-2495,Other Instructional Resources,"$636,565  "
2700,School Administration,"$33,932,551  "
"Subtotal, INSTRUCTION-RELATED SERVICES",,"$132,783,414"
3000-3999  ,PUPIL SERVICES  ,"$45,325,938"
3110,Guidance and Counseling Services,"$14,526,176  "
3120,Psychological Services,"$868,327  "
3130,Attendance and Social Work Services,"$7,967,109  "
3140,Health Services,"$8,331,282  "
3150,Speech Pathology and Audiology Services,"$567,759  "
3160,Pupil Testing Services,"$2,386,175  "
3600,Pupil Transportation,"$8,410,952  "
3700,Food Services,"$200,425  "
3900,Other Pupil Services,"$2,067,734  "
"Subtotal, PUPIL SERVICES",,"$45,325,938"
4000-4999  ,ANCILLARY SERVICES  ,"$2,207,263"
5000-5999  ,COMMUNITY SERVICES  ,$0
6000-6999  ,ENTERPRISE  ,"$4,264"
7000-7999  ,GENERAL ADMINISTRATION  ,"$27,916,858"
8000-8999  ,PLANT SERVICES  ,"$55,172,247"
9000-9999  ,OTHER OUTGO  ,"$81,981,716"
"Total Expenditures, All Activities",,"$594,788,926"
